Year,Lat,Lon,days_below_55F,days_below_32F,days_below_28F,days_below_26F,annual_min_temp_F
1956,34.25,-87.75,176,42,14,7,21.15633
1956,34.25,-87.5,176,40,14,7,21.294317
1956,34.25,-87.25,177,38,14,8,21.303986
1956,34.25,-87.0,176,38,13,8,21.955256
1956,34.25,-86.75,179,41,15,8,21.041193
1956,34.25,-86.5,175,38,13,7,22.415802
1956,34.25,-86.25,181,35,11,7,22.693537
1956,34.25,-86.0,184,37,13,8,22.555988
1956,34.25,-85.75,185,36,14,8,23.006428
1956,34.25,-85.5,184,37,13,9,23.691975
1956,34.25,-85.25,182,37,14,11,22.869318
1956,34.25,-85.0,181,38,15,11,22.968634
1956,34.25,-84.75,184,44,17,11,22.13587
1956,34.25,-84.5,185,43,17,11,21.920979
1956,34.25,-84.25,187,41,18,10,21.833088
1956,34.25,-84.0,185,38,15,9,22.205744
1956,34.25,-83.75,186,37,12,8,22.66629
1956,34.25,-83.5,181,32,11,7,22.958088
1956,34.25,-83.25,175,31,11,5,23.22879
1956,34.25,-83.0,174,27,9,6,24.12176
1956,34.25,-82.75,175,30,9,6,23.210333
1956,34.25,-82.5,171,31,11,6,23.419073
1956,34.25,-82.25,174,31,11,7,22.788458
1956,34.25,-82.0,170,31,11,6,23.95345
1956,34.25,-81.75,169,27,8,3,24.646906
1956,34.25,-81.5,166,26,8,2,24.720734
1956,34.25,-81.25,164,13,2,0,27.218145
1956,34.25,-81.0,166,24,9,2,24.203058
1956,34.25,-80.75,167,29,10,7,22.61839
1956,34.25,-80.5,164,29,14,8,22.242218
1956,34.25,-80.25,162,28,11,7,20.93045
1956,34.25,-80.0,163,29,12,8,20.93836
1956,34.25,-79.75,161,28,13,9,21.387482
1956,34.25,-79.5,159,28,12,8,22.009747
1956,34.25,-79.25,158,28,13,7,21.46131
1956,34.25,-79.0,160,28,13,6,22.210138
1956,34.25,-78.75,163,29,13,7,22.452717
1956,34.25,-78.5,160,30,15,7,22.95545
1956,34.25,-78.25,157,26,10,3,24.486065
1956,34.25,-78.0,147,17,1,0,26.834064
1956,34.0,-95.0,172,33,19,10,11.407501
1956,34.0,-94.75,172,34,19,12,14.633526
1956,34.0,-94.5,176,33,20,11,18.607502
1956,34.0,-94.25,175,34,20,10,20.272589
1956,34.0,-94.0,168,32,15,6,22.534454
1956,34.0,-93.75,169,31,14,4,23.899395
1956,34.0,-93.5,169,35,16,6,23.630451
1956,34.0,-93.25,167,33,14,6,23.922247
1956,34.0,-93.0,167,34,12,4,24.183283
1956,34.0,-92.75,165,30,12,4,24.197346
1956,34.0,-92.5,162,29,11,4,24.344122
1956,34.0,-92.25,164,34,12,5,23.940704
1956,34.0,-92.0,162,33,10,2,24.186798
1956,34.0,-91.75,158,29,7,2,24.566486
1956,34.0,-91.5,160,30,7,4,24.098469
1956,34.0,-91.25,156,26,7,3,23.947296
1956,34.0,-91.0,157,24,7,3,23.74339
1956,34.0,-90.75,158,27,8,3,22.94051
1956,34.0,-90.5,160,25,10,3,22.265509
1956,34.0,-90.25,163,28,11,6,21.65379
1956,34.0,-90.0,160,25,6,3,24.022442
1956,34.0,-89.75,161,22,6,3,24.638996
1956,34.0,-89.5,162,23,6,3,24.688213
1956,34.0,-89.25,166,28,8,3,22.581036
1956,34.0,-89.0,172,32,12,7,21.237188
1956,34.0,-88.75,169,33,12,8,21.048223
1956,34.0,-88.5,169,36,10,8,20.837286
1956,34.0,-88.25,169,36,12,7,21.709162
1956,34.0,-88.0,173,38,12,8,21.129084
